observed_date,source,market,canonical_fish_name,noryangjin_species_name,source_species_name,trade_state,origin,spec,package_unit,quantity,weight,high_price_krw,low_price_krw,avg_price_krw,source_url
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,나로도,5미,kg,3.7,,25000,25000,25000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,중국,4미,kg,10.5,,5000,5000,5000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,완도,5미,kg,1.8,,10000,10000,10000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,완도,1/2미,kg,2.3,,24000,24000,24000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(활)민어,활,완도,1미,kg,471.7,,67000,32000,54400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,군산,7미,S/P,6.7,,23000,23000,23000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,1미,S/P,1.4,,15000,15000,15000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,3미,kg,10,,35000,35000,35000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,목포,11미,kg,12.5,,26000,26000,26000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,민어,민어,(선)민어,선,고흥,1미,kg,5.2,,40000,40000,40000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,바다가재,(활)바다가재,활,미국,10/15미,kg,56.3,,33500,20000,30300,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,바다가재,(선)바다가재,선,캐나다,10/15미,kg,9.8,,8000,1000,6700,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,바다가재,(선)바다가재,선,캐나다,1미,kg,2,,14500,14500,14500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,바다가재,(냉)바다가재,냉,캐나다,10/15미,kg,31.6,,9000,2000,8300,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,방어,방어,(선)방어,선,남해,3미,kg,10.2,,3000,3000,3000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,방어,방어,(선)방어,선,일본,1미,kg,6.8,,16000,16000,16000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,잿방어,(활)잿방어,활,일본,1미,kg,708.6,,30000,10000,21400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,잿방어,(활)잿방어,활,일본,3미,kg,22.8,,6000,6000,6000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,잿방어,(활)잿방어,활,일본,2미,kg,63.6,,29000,6000,22800,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,잿방어,(선)잿방어,선,일본,1미,kg,20.2,,22000,22000,22000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,잿방어,(선)잿방어,선,일본,2/3미,kg,20,,8000,8000,8000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,백조기,(선)백조기,선,나로도,10/20미,S/P,46,,26000,22000,24200,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,백조기,(선)백조기,선,나로도,5/10미,S/P,2,,20000,20000,20000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,백합,(활)백합,활,인천,중,그물망,38,,36000,21100,29400,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,백합,(활)백합,활,강화,중,그물망,1,,72500,72500,72500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,백합,(활)백합,활,군산,중,그물망,2,,60000,56500,58300,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,벤자리,(활)벤자리,활,일본,8미,kg,42.1,,40000,40000,40000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,벤자리,(선)벤자리,선,제주도,20/30미,S/P,1,,30000,30000,30000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,병어,병어,(선)병어,선,군산,10미,미(마리),10,,2500,2500,2500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,병어,병어,(선)병어,선,나로도,5/10미,S/P,28,,135000,55000,93000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,병어,병어,(선)병어,선,군산,6미,kg,25.5,,36000,36000,36000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
